Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25258104,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2001,SEX,BTSX,NA,NA,NA,NA,NA,NA,2083 [1101-3505],2083.086,1100.58,3505.149,NA,2021-02-09T16:20:20.88+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
25258105,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2002,SEX,FMLE,NA,NA,NA,NA,NA,NA,289 [157-495],288.8439,156.763,494.5066,NA,2021-02-09T16:20:20.913+01:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
25258106,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2006,SEX,MLE,NA,NA,NA,NA,NA,NA,2141 [1212-3502],2140.682,1212.406,3502.095,NA,2021-02-09T16:20:20.96+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
25258107,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2017,SEX,MLE,NA,NA,NA,NA,NA,NA,2455 [1426-4148],2455.153,1426.493,4148.371,NA,2021-02-09T16:20:20.99+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
25258108,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2012,SEX,FMLE,NA,NA,NA,NA,NA,NA,433 [218-783],432.9586,218.0951,782.6849,NA,2021-02-09T16:20:21.007+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
25258109,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2010,SEX,FMLE,NA,NA,NA,NA,NA,NA,405 [213-716],404.6889,212.981,715.5149,NA,2021-02-09T16:20:21.04+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
25258110,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2000,SEX,FMLE,NA,NA,NA,NA,NA,NA,245 [119-448],245.4284,118.9,448.4129,NA,2021-02-09T16:20:21.07+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
25258111,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2010,SEX,BTSX,NA,NA,NA,NA,NA,NA,2638 [1519-4348],2638.419,1518.889,4348.223,NA,2021-02-09T16:20:21.1+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
25258112,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2003,SEX,MLE,NA,NA,NA,NA,NA,NA,2138 [1235-3454],2137.978,1234.68,3454.456,NA,2021-02-09T16:20:21.13+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
25258113,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2018,SEX,FMLE,NA,NA,NA,NA,NA,NA,607 [371-990],607.3214,370.5286,990.0487,NA,2021-02-09T16:20:21.167+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
25258114,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2005,SEX,FMLE,NA,NA,NA,NA,NA,NA,348 [173-627],348.2059,173.3523,626.9966,NA,2021-02-09T16:20:21.18+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
25258115,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2013,SEX,FMLE,NA,NA,NA,NA,NA,NA,475 [237-861],474.9973,237.4715,861.1454,NA,2021-02-09T16:20:21.213+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
25258116,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2017,SEX,FMLE,NA,NA,NA,NA,NA,NA,576 [315-1012],575.6881,315.0779,1012.068,NA,2021-02-09T16:20:21.243+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
25258117,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2009,SEX,BTSX,NA,NA,NA,NA,NA,NA,2543 [1438-4211],2543.485,1437.981,4210.8,NA,2021-02-09T16:20:21.277+01:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
25258118,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2014,SEX,BTSX,NA,NA,NA,NA,NA,NA,2853 [1560-4931],2853.4,1560.318,4931.084,NA,2021-02-09T16:20:21.307+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
25258119,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2011,SEX,MLE,NA,NA,NA,NA,NA,NA,2250 [1284-3724],2249.788,1283.74,3723.754,NA,2021-02-09T16:20:21.34+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
25258120,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2011,SEX,FMLE,NA,NA,NA,NA,NA,NA,416 [212-746],415.7651,211.5795,746.4548,NA,2021-02-09T16:20:21.37+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
25258121,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2000,SEX,MLE,NA,NA,NA,NA,NA,NA,1787 [959-2961],1786.525,959.2967,2960.615,NA,2021-02-09T16:20:21.4+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
25258122,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2004,SEX,FMLE,NA,NA,NA,NA,NA,NA,330 [167-587],330.479,167.2213,586.9632,NA,2021-02-09T16:20:21.43+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
25258123,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2015,SEX,FMLE,NA,NA,NA,NA,NA,NA,576 [329-976],576.2368,328.6526,976.2695,NA,2021-02-09T16:20:21.447+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
